# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: /home/d/alteraproj/textmax1270/output_files/testmax1270.csv
# Generated on: Mon Dec 25 21:36:40 2017

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,Fitter Location,I/O Standard,Reserved,Current Strength,Strict Preservation
CLK1,Input,PIN_18,1,PIN_18,3.3-V LVTTL,,,
CLK2,Input,PIN_20,1,PIN_20,3.3-V LVTTL,,,
T[1],Output,PIN_1,1,PIN_1,3.3-V LVCMOS,,,
T[2],Output,PIN_2,1,PIN_2,3.3-V LVCMOS,,,
T[3],Output,PIN_3,1,PIN_3,3.3-V LVCMOS,,,
T[4],Output,PIN_4,1,PIN_4,3.3-V LVCMOS,,,
T[5],Output,PIN_5,1,PIN_5,3.3-V LVCMOS,,,
T[6],Output,PIN_6,1,PIN_6,3.3-V LVCMOS,,,
T[7],Output,PIN_7,1,PIN_7,3.3-V LVCMOS,,,
T[8],Output,PIN_8,1,PIN_8,3.3-V LVCMOS,,,
T[9],Output,PIN_11,1,PIN_11,3.3-V LVCMOS,,,
T[10],Output,PIN_12,1,PIN_12,3.3-V LVCMOS,,,
T[11],Output,PIN_13,1,PIN_13,3.3-V LVCMOS,,,
T[12],Output,PIN_14,1,PIN_14,3.3-V LVCMOS,,,
T[13],Output,PIN_15,1,PIN_15,3.3-V LVCMOS,,,
T[14],Output,PIN_16,1,PIN_16,3.3-V LVCMOS,,,
T[15],Output,PIN_21,1,PIN_21,3.3-V LVCMOS,,,
T[16],Output,PIN_22,1,PIN_22,3.3-V LVCMOS,,,
T[17],Output,PIN_23,1,PIN_23,3.3-V LVCMOS,,,
T[18],Output,PIN_24,1,PIN_24,3.3-V LVCMOS,,,
T[19],Output,PIN_27,1,PIN_27,3.3-V LVCMOS,,,
T[20],Output,PIN_28,1,PIN_28,3.3-V LVCMOS,,,
T[21],Output,PIN_29,1,PIN_29,3.3-V LVCMOS,,,
T[22],Output,PIN_30,1,PIN_30,3.3-V LVCMOS,,,
T[23],Output,PIN_31,1,PIN_31,3.3-V LVCMOS,,,
T[24],Output,PIN_32,1,PIN_32,3.3-V LVCMOS,,,
T[25],Output,PIN_37,4,PIN_37,3.3-V LVCMOS,,,
T[26],Output,PIN_38,4,PIN_38,3.3-V LVCMOS,,,
T[27],Output,PIN_39,4,PIN_39,3.3-V LVCMOS,,,
T[28],Output,PIN_40,4,PIN_40,3.3-V LVCMOS,,,
T[29],Output,PIN_41,4,PIN_41,3.3-V LVCMOS,,,
T[30],Output,PIN_42,4,PIN_42,3.3-V LVCMOS,,,
T[31],Output,PIN_43,4,PIN_43,3.3-V LVCMOS,,,
T[32],Output,PIN_44,4,PIN_44,3.3-V LVCMOS,,,
T[33],Output,PIN_45,4,PIN_45,3.3-V LVCMOS,,,
T[34],Output,PIN_48,4,PIN_48,3.3-V LVCMOS,,,
T[35],Output,PIN_49,4,PIN_49,3.3-V LVCMOS,,,
T[36],Output,PIN_50,4,PIN_50,3.3-V LVCMOS,,,
T[37],Output,PIN_51,4,PIN_51,3.3-V LVCMOS,,,
T[38],Output,PIN_52,4,PIN_52,3.3-V LVCMOS,,,
T[39],Output,PIN_53,4,PIN_53,3.3-V LVCMOS,,,
T[40],Output,PIN_55,4,PIN_55,3.3-V LVCMOS,,,
T[41],Output,PIN_57,4,PIN_57,3.3-V LVCMOS,,,
T[42],Output,PIN_58,4,PIN_58,3.3-V LVCMOS,,,
T[43],Output,PIN_59,4,PIN_59,3.3-V LVCMOS,,,
